DATE,ACMH,ACSH,AWND,DASF,FMTM,MDSF,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
1869-01-01,,,,,,,,0.75,,9,,,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-02,,,,,,,,0.03,,0,,,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-03,,,,,,,,0,,0,,,35,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-04,,,,,,,,0.18,,0,,,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-05,,,,,,,,0.05,,0,,,43,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-06,,,,,,,,0,,0,,,38,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-07,,,,,,,,0,,0,,,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-08,,,,,,,,0,,0,,,54,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-09,,,,,,,,0,,0,,,48,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-10,,,,,,,,0.01,,0,,,44,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-11,,,,,,,,0,,0,,,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-12,,,,,,,,0.85,,0,,,37,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-13,,,,,,,,0,,0,,,38,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-14,,,,,,,,0,,0,,,42,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-15,,,,,,,,0.04,,0,,,42,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-16,,,,,,,,0,,0,,,38,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-17,,,,,,,,0,,0.1,,,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-18,,,,,,,,0,,0,,,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-19,,,,,,,,0.15,,6,,,34,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-20,,,,,,,,0,,0,,,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-21,,,,,,,,0,,0,,,42,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-22,,,,,,,,0,,0,,,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-23,,,,,,,,0,,0,,,39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-24,,,,,,,,0,,0,,,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-25,,,,,,,,0,,0,,,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-26,,,,,,,,0,,0,,,31,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-27,,,,,,,,0,,0,,,40,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-28,,,,,,,,0,,0,,,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-29,,,,,,,,0,,0,,,48,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-30,,,,,,,,0.47,,0,,,54,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-01-31,,,,,,,,0,,0,,,41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-02-01,,,,,,,,0,,0,,,33,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-02-02,,,,,,,,0,,0,,,34,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-02-03,,,,,,,,0,,0,,,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869-02-04,,,,,,,,1.55,,1.1,,,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
