days,bT,sT,y1970,y1980,y1990,y2000,y2010,y2017
2,1.01,0.99,4.81969,8.65398,11.51062,0.21492,1.66134,171.42213
2,1.01,0.985,3.85862,8.25060,9.35710,0.25119,2.15088,160.94464
2,1.01,0.98,3.18221,5.82213,7.94357,0.24865,2.09900,76.81049
2,1.01,0.975,2.61363,4.71833,7.45434,0.38046,2.41997,84.63650
2,1.01,0.97,2.03553,4.76221,7.24585,0.34088,2.40804,57.65547
2,1.01,0.965,1.82428,4.88692,8.28219,0.33690,2.16124,53.76174
2,1.01,0.96,1.75740,4.75332,7.97788,0.40279,2.17856,58.47907
2,1.01,0.955,1.49798,4.30042,7.47471,0.41303,2.13557,42.47285
2,1.01,0.95,1.39850,3.81338,8.24799,0.43831,2.36965,45.68665
2,1.01,0.945,1.46696,3.36619,8.96543,0.42712,2.51757,47.60531
2,1.01,0.94,1.46696,3.36619,9.10946,0.35831,2.62982,42.38664
2,1.01,0.9349999999999999,1.46696,3.55364,8.85704,0.38621,2.63109,46.91840
2,1.01,0.9299999999999999,1.46696,3.23392,9.57946,0.37731,2.74818,47.12302
2,1.01,0.925,1.46696,3.23392,8.10799,0.38985,2.85219,42.77023
2,1.01,0.9199999999999999,1.48170,3.23392,8.10799,0.33028,3.03400,38.93124
2,1.01,0.915,1.48170,3.23392,8.46536,0.32687,3.03400,40.22833
2,1.01,0.91,1.48170,3.23392,8.46536,0.33107,3.03400,40.74406
2,1.01,0.905,1.48170,3.23392,8.46536,0.37741,3.03400,46.44800
2,1.015,0.99,3.12452,7.03106,9.20753,0.22464,1.56035,70.90238
2,1.015,0.985,2.50652,7.36589,8.65008,0.23623,2.17354,82.00245
2,1.015,0.98,2.65894,5.28733,7.83072,0.21856,2.00260,48.18524
2,1.015,0.975,2.22547,4.10273,7.71417,0.31505,2.31280,51.32143
2,1.015,0.97,1.84933,4.79937,7.05699,0.32058,2.49744,50.14829
2,1.015,0.965,1.99950,4.78427,8.16111,0.31358,2.16961,53.11423
2,1.015,0.96,1.79739,4.60641,7.64785,0.37625,2.18700,52.10418
2,1.015,0.955,1.56478,4.20561,7.36679,0.38196,2.17285,40.23545
2,1.015,0.95,1.43585,3.76307,8.24799,0.40534,2.34030,42.27533
2,1.015,0.945,1.50613,3.36619,8.96543,0.39173,2.54282,45.27727
2,1.015,0.94,1.50613,3.36619,9.10946,0.32862,2.62982,39.91353
2,1.015,0.9349999999999999,1.50613,3.55364,8.85704,0.35422,2.63109,44.18088
2,1.015,0.9299999999999999,1.50613,3.23392,9.57946,0.37349,2.74818,47.89163
2,1.015,0.925,1.50613,3.23392,8.10799,0.43456,2.85219,48.94806
2,1.015,0.9199999999999999,1.48170,3.23392,8.10799,0.38065,3.03400,44.86890
2,1.015,0.915,1.48170,3.23392,8.46536,0.37673,3.03400,46.36382
2,1.015,0.91,1.48170,3.23392,8.46536,0.38156,3.03400,46.95820
2,1.015,0.905,1.48170,3.23392,8.46536,0.43497,3.03400,53.53209
